"m","test","p"
24,"p_L2",0.0092990700929907
24,"p_D",0.0172982701729827
26,"p_L2",0.0072992700729927
26,"p_D",0.0172982701729827
28,"p_L2",0.0090990900909909
28,"p_D",0.0200979902009799
31,"p_L2",0.007999200079992
31,"p_D",0.00999900009999
33,"p_L2",0.0071992800719928
33,"p_D",0.0135986401359864
36,"p_L2",0.0077992200779922
36,"p_D",0.0111988801119888
38,"p_L2",0.0061993800619938
38,"p_D",0.0111988801119888
40,"p_L2",0.0068993100689931
40,"p_D",0.0131986801319868
43,"p_L2",0.0071992800719928
43,"p_D",0.0127987201279872
45,"p_L2",0.0073992600739926
45,"p_D",0.0124987501249875
